Fund Name,Expense Category,Org Description,Object Description,Original Budget,Revised Budget,Fiscal Year,ID
Wastewater Fund,Utility Transfer,WW Fd Non Dept Exp,Nonoper Exp Utility Trsf GF,1510930,1510930,2018,2018-5213-910-89100-00000000-00000000-6770
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Bldg,Salaries Overtime,3539,3539,2018,2018-1001-430-80520-00000000-00000000-5014
Water Fund,Salaries/Benefit Exp,Water Source Operations,Benefits FICA,903,903,2018,2018-5212-510-80900-00000000-WSORX   -5050-
Electric Fund,Salaries/Benefit Exp,Elec Eng Oper Undrgrd Line,Salaries Cell Allowance,234,234,2018,2018-5211-500-80850-00000000-584     -5021-
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Goodwill,1825,1825,2018,2018-2227-440-80791-00000000-00000000-5116
Sanitation Fund,Utilities Exp,Sanitation Fd Commercial,Utilities Mobile Phone,252,252,2018,2018-5214-440-80781-00000000-00000000-5406
General Fund,Misc Operating Exp,Genl Fd Budget/Financial Rep,Misc Postage & Freight,25,25,2018,2018-1001-300-80230-00000000-00000000-5960
General Fund,Prof Svcs Exp,Genl Fd Emergency Medical Svcs,Prof Svcs Miscellaneous,31240,31240,2018,2018-1001-420-80440-00000000-00000000-5399
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Special Events,Salaries Overtime,8651,8651,2018,2018-1001-530-81121-00000000-00000000-5014
Sanitation Fund,Supplies Exp,Sanitation Fd Commercial,Supplies Office Supplies,100,100,2018,2018-5214-440-80781-00000000-00000000-5101
General Fund,Purchased Services,Genl Fd Mayor & Council,Travel Lodging/Transport/Other,12000,12000,2018,2018-1001-100-80100-00000000-00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Landscape/Irrigation,Benefits FICA,9222,9222,2018,2018-1001-440-80760-00000000-00000000-5050
Electric Fund,Salaries/Benefit Exp,Elec Eng Oper Super & Engineer,Benefits OPEB,6930,6930,2018,2018-5211-500-80850-00000000-580     -5053-
Electric Fund,Supplies Exp,Elec Com Safety & Related Exp,Supplies Medical,50,50,2018,2018-5211-500-80840-00000000-925     -5111
General Fund,Salaries/Benefit Exp,Genl Fd Judiciary,Benefits Group Health Ins,10215,10215,2018,2018-1001-300-80250-00000000-00000000-5055
Sanitation Fund,Debt Expense,Sanitation Fd CO2009,Debt Principal Pmts CO,220000,220000,2018,2018-5214-910-89220-CO2009  -00000000-6636
General Fund,Salaries/Benefit Exp,Genl Fd Community Svcs Admin,Benefits Car Allowance,9626,9626,2018,2018-1001-450-80600-00000000-00000000-5061
General Fund,Purchased Services,Genl Fd Public Works Admin,Training Inhouse,5200,5200,2018,2018-1001-440-80700-00000000-00000000-5552
General Fund,Salaries/Benefit Exp,Genl Fd Community Svcs Admin,Benefits Group Life Insurance,629,629,2018,2018-1001-450-80600-00000000-00000000-5056
Neighborhood Park Zone 7 Fund,Capital Outlay,Neigh Pk Zone 7 Non Dept CIP,Cap Outlay Impr Construction,35000,35000,2018,2018-4177-910-89971-00000000-00000000-6561
General Fund,Prof Svcs Exp,Genl Fd Tourism Special Events,Prof Svcs Contract Labor,42473,42473,2018,2018-1001-530-81121-00000000-00000000-5315
Fleet Maintenance Fund,Salaries/Benefit Exp,Fleet Fd Admin,Benefits Group Life Insurance,1564,1564,2018,2018-2227-440-80791-00000000-00000000-5056
General Fund,Misc Operating Exp,Genl Fd Network Services,Misc Memberships,200,200,2018,2018-1001-600-81260-00000000-00000000-5930
General Fund,Indirect Exp,Genl Fd Adamson Lagoon,Recreation Indirect PARD Admin,6842,6842,2018,2018-1001-530-81125-AQ733   -00000000-5810
General Fund,Prof Svcs Exp,Genl Fd Operations East Dist,Prof Svcs Pre Employment Costs,400,400,2018,2018-1001-530-81141-00000000-00000000-5307
Water Fund,Utility Transfer,Water Fd Non Dept Exp,Nonoper Exp Utility Trsf GF,1561912,1561912,2018,2018-5212-910-89100-00000000-00000000-6770
Electric Fund,Purchased Services,Elec EM Rent,Rent/Lease Equipment,259,259,2018,2018-5211-500-80860-00000000-931     -5500
General Fund,Salaries/Benefit Exp,Genl Fd Landscape/Irrigation,Salaries Cell Allowance,350,350,2018,2018-1001-440-80760-00000000-00000000-5021
General Fund,Salaries/Benefit Exp,Genl Fd P&DS Administration,Benefits Car Allowance,9627,9627,2018,2018-1001-430-80500-00000000-00000000-5061
Electric Fund,Salaries/Benefit Exp,Elec Sub Meter Distribution,Salaries Standby,7885,7885,2018,2018-5211-500-80820-00000000-582     -5016-
Sanitation Fund,Salaries/Benefit Exp,Sanitation Fd Residential,Benefits Retirement,142492,142492,2018,2018-5214-440-80780-00000000-00000000-5051
General Fund,Utilities Exp,Genl Fd Emergency Medical Svcs,Utilities Rdwy Maint Fee,1679,1679,2018,2018-1001-420-80440-00000000-00000000-5409-
Drainage Utility Fund,Supplies Exp,Drainage Fd Maintenance,Supplies Chemicals/Pesticides,15000,15000,2018,2018-3912-440-80796-00000000-00000000-5108
General Fund,Salaries/Benefit Exp,Genl Fd Fire Prevention,Benefits Group Health Ins,71557,71557,2018,2018-1001-420-80430-00000000-00000000-5055
Electric Fund,Replacements Exp,Elec Adm Ofc Supp/Other,Replacement Virtual Servers,11829,11829,2018,2018-5211-500-80810-00000000-921     -5601-
General Fund,Supplies Exp,Genl Fd Operations East Dist,Supplies Safety,3000,3000,2018,2018-1001-530-81141-00000000-00000000-5122
Sanitation Fund,Supplies Exp,Sanitation Fd Residential,Supplies Garbage Containers,60550,60550,2018,2018-5214-440-80780-00000000-00000000-5107
General Fund,Utilities Exp,Genl Fd Emergency Medical Svcs,Utilities Phone Long Distance,225,225,2018,2018-1001-420-80440-00000000-00000000-5405
General Fund,Misc Operating Exp,Genl Fd Uniform Patrol,Misc Postage & Freight,515,515,2018,2018-1001-410-80310-00000000-00000000-5960
General Fund,Salaries/Benefit Exp,Genl Fd Communications,Salaries Full Time Labor,1064048,1064048,2018,2018-1001-410-80350-00000000-00000000-5011
Electric Fund,Prof Svcs Exp,Elec T&D Oper Super & Engineer,Prof Svcs Drug Testing,1000,1000,2018,2018-5211-500-80870-00000000-580     -5306
General Fund,Supplies Exp,Genl Fd Community Svcs Admin,Supplies Clothing/Uniforms,75,75,2018,2018-1001-450-80600-00000000-00000000-5120
General Fund,Purchased Services,Genl Fd Human Resources,Travel Lodging/Transport/Other,7000,7000,2018,2018-1001-100-80160-00000000-00000000-5570
General Fund,Utilities Exp,Genl Fd Civil Engineering,Utilities Local Phone,1309,1309,2018,2018-1001-430-80510-00000000-00000000-5404
General Fund,Salaries/Benefit Exp,Genl Fd Municipal Court,Salaries Incentive Pay,3794,3794,2018,2018-1001-300-80240-00000000-00000000-5019
Electric Fund,Salaries/Benefit Exp,Elec T&D Oper Super & Engineer,Benefits Group Life Insurance,2418,2418,2018,2018-5211-500-80870-00000000-580     -5056-
General Fund,Supplies Exp,Genl Fd Human Resources,Supplies Awards,28000,28000,2018,2018-1001-100-80160-00000000-00000000-5121
General Fund,Utilities Exp,Genl Fd Traffic Engineering,Utilities Phone Long Distance,131,131,2018,2018-1001-440-80710-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Fire Administration,Salaries Language Pay,292,292,2018,2018-1001-420-80400-00000000-00000000-5018
General Fund,Supplies Exp,Genl Fd Fire Administration,Supplies Veh/Equip Fuel & Oil,1127,1127,2018,2018-1001-420-80400-00000000-00000000-5104
Electric Fund,Prof Svcs Exp,Elec Com Reliab/Plan/Stand Dev,Prof Svcs Special Studies,30000,30000,2018,2018-5211-500-80840-00000000-561.5   -5304-
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Operations,Salaries Full Time Labor,87522,87522,2018,2018-5213-520-80960-00000000-SLUDX   -5011-
Wastewater Fund,Salaries/Benefit Exp,WW Collection Operations,Benefits Educational Reimburse,1000,1000,2018,2018-5213-520-80950-00000000-SCOPX   -5059-
Wastewater Fund,Misc Operating Exp,WW General Plant Operations,Misc Postage & Freight,1157,1157,2018,2018-5213-520-80950-00000000-SGOPX   -5960-
General Fund,Supplies Exp,Genl Fd Fire Training,Supplies Testing,2452,2452,2018,2018-1001-420-80450-00000000-00000000-5119-
Northgate Parking Fund,Utilities Exp,NG Pkg Fd Parking Oper,Utilities Electric,50238,50238,2018,2018-5202-450-80621-00000000-00000000-5400
Property & Casualty Ins Fund,Non-Dept Ins Claims,P&C Ins Fd Non Dept Exp,Insure Claims Prop Damage Auto,30000,30000,2018,2018-2221-910-89100-00000000-00000000-6120
General Fund,Prof Svcs Exp,Genl Fd Code Enforcement,Prof Svcs Miscellaneous,330,330,2018,2018-1001-450-80610-00000000-00000000-5399
Wastewater Fund,Misc Operating Exp,WW General Plant Operations,Misc Memberships,1555,1555,2018,2018-5213-520-80960-00000000-SGOPX   -5930-
General Fund,Replacements Exp,Genl Fd Fire Suppression,Replacement Fire Equipment,324666,324666,2018,2018-1001-420-80420-00000000-00000000-5607-
General Fund,Misc Operating Exp,Genl Fd IT Administration,Misc Postage & Freight,100,100,2018,2018-1001-600-81200-00000000-00000000-5960
General Fund,Salaries/Benefit Exp,Genl Fd LC   Nature Center,Benefits Retirement,1872,1872,2018,2018-1001-530-81125-CT860   -00000000-5051-
Water Fund,G&A Transfer Out,Water Fd Non Dept Exp,G&A Transfer Out Electric Fd,379569,379569,2018,2018-5212-910-89100-00000000-00000000-6320-
General Fund,Replacements Exp,Genl Fd City Manager,Replacement Fleet,5000,5000,2018,2018-1001-100-80130-00000000-00000000-5600
General Fund,Replacements Exp,Genl Fd Police Administration,Replacement Virtual Servers,14559,14559,2018,2018-1001-410-80300-00000000-00000000-5601-
General Fund,Utilities Exp,Genl Fd Tourism Special Events,Utilities Wastewater,17900,17900,2018,2018-1001-530-81121-00000000-00000000-5403
General Fund,Salaries/Benefit Exp,Genl Fd Operations East Dist,Salaries Temp/Seasonal/PTNB,13980,13980,2018,2018-1001-530-81141-00000000-00000000-5013
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Benefits FICA,51082,51082,2018,2018-5212-510-80910-00000000-WDISX   -5050-
Wastewater Fund,Salaries/Benefit Exp,WW Sludge Maintenance,Benefits FICA,1212,1212,2018,2018-5213-520-80960-00000000-SLUDM   -5050-
General Fund,Purchased Services,Genl Fd Traffic Signals,Printing External,100,100,2018,2018-1001-440-80770-00000000-00000000-5582
General Fund,Supplies Exp,Genl Fd Adamson Lagoon,Supplies Food & Beverages,11000,11000,2018,2018-1001-530-81125-AQ733   -00000000-5114
Electric Fund,Supplies Exp,Elec Adm Ofc Supp/Other,Supplies Office Furniture,1000,1000,2018,2018-5211-500-80810-00000000-921     -5103
General Fund,Salaries/Benefit Exp,Genl Fd Community Svcs Admin,Benefits OPEB,3375,3375,2018,2018-1001-450-80600-00000000-00000000-5053-
General Fund,G&A Transfer Out,Genl Fd Splash Pads,G&A Transfer Out General Fd,399,399,2018,2018-1001-530-81125-AQ735   -00000000-6310
General Fund,Purchased Services,Genl Fd Traffic Engineering,Travel Lodging/Transport/Other,6000,6000,2018,2018-1001-440-80710-00000000-00000000-5570
General Fund,Salaries/Benefit Exp,Genl Fd Tourism Athletics,Benefits FICA,9261,9261,2018,2018-1001-530-81122-00000000-00000000-5050
Wastewater Fund,Salaries/Benefit Exp,WW Pumping Treat Disp Maint,Benefits Retirement,19600,19600,2018,2018-5213-520-80960-00000000-STRTM   -5051-
General Fund,Purchased Services,Genl Fd Facilities Management,Training Inhouse,500,500,2018,2018-1001-440-80720-00000000-00000000-5552
General Fund,Purchased Services,Genl Fd Streets Maintenance,Printing External,1000,1000,2018,2018-1001-440-80740-00000000-00000000-5582
Electric Fund,Salaries/Benefit Exp,Elec Sub Mnt Station Eq Dist,Benefits Group Life Insurance,348,348,2018,2018-5211-500-80820-00000000-592     -5056-
Electric Fund,Salaries/Benefit Exp,Elec T&D Mnt Underground Lines,Benefits Gym Membership,81,81,2018,2018-5211-500-80870-00000000-594     -5060-
General Fund,Purchased Services,Genl Fd Human Resources,Advertising Recruiting,4000,4000,2018,2018-1001-100-80160-00000000-00000000-5541
General Fund,Salaries/Benefit Exp,Genl Fd Develop Svcs Dev Coord,Benefits Gym Membership,241,241,2018,2018-1001-430-80521-00000000-00000000-5060
General Fund,Prof Svcs Exp,Genl Fd Challenger Sports,Prof Svcs Miscellaneous,1200,1200,2018,2018-1001-530-81125-SP759   -00000000-5399
General Fund,Salaries/Benefit Exp,Genl Fd Youth Basketball,Salaries Temp/Seasonal/PTNB,8617,8617,2018,2018-1001-530-81125-SP754   -00000000-5013
Debt Service Fund,Debt Expense,Debt Svc Fd GO2009R,Debt Principal Pmts GOB,225000,225000,2018,2018-1151-910-89210-GO2009R -00000000-6633
Water Fund,Purchased Services,Water General Operations,Travel Lodging/Transport/Other,3919,3919,2018,2018-5212-510-80910-00000000-WGENX   -5570-
Drainage Utility Fund,Prof Svcs Exp,Drainage Fd Maintenance,Prof Svcs Pre Employment Costs,1300,1300,2018,2018-3912-440-80796-00000000-00000000-5307
General Fund,Indirect Exp,Genl Fd Operations Admin,Recreation Indirect Field Cost,-313600,-313600,2018,2018-1001-530-81140-00000000-00000000-5820
General Fund,Salaries/Benefit Exp,Genl Fd P&DS Administration,Benefits Group Life Insurance,651,651,2018,2018-1001-430-80500-00000000-00000000-5056
Community Development Fund,Purchased Services,Com Dev Fd Operations,Insurance Premiums,5479,5479,2018,2018-3122-450-80630-00000000-00000000-5520
General Fund,Supplies Exp,Genl Fd Police Administration,Supplies Minor Equip/Tools,400,400,2018,2018-1001-410-80300-00000000-00000000-5102
General Fund,Salaries/Benefit Exp,Genl Fd Thomas Pool,Benefits Workers Comp Ins,34,34,2018,2018-1001-530-81125-AQ732   -00000000-5057
General Fund,Purchased Services,Genl Fd Cemetery,Training Outside,150,150,2018,2018-1001-530-81144-00000000-00000000-5551
General Fund,Replacements Exp,Genl Fd Public Works Admin,Replacement Virtual Servers,4550,4550,2018,2018-1001-440-80700-00000000-00000000-5601-
General Fund,Purchased Services,Genl Fd Fire Administration,Insurance Premiums,4193,4193,2018,2018-1001-420-80400-00000000-00000000-5520
Electric Fund,Salaries/Benefit Exp,Elec EM Customer Assistance,Benefits Workers Comp Ins,252,252,2018,2018-5211-500-80860-00000000-908     -5057
General Fund,Prof Svcs Exp,Genl Fd Budget/Financial Rep,Prof Svcs Special Studies,11500,11500,2018,2018-1001-300-80230-00000000-00000000-5304
General Fund,Salaries/Benefit Exp,Genl Fd GIS,Benefits Gym Membership,241,241,2018,2018-1001-600-81220-00000000-00000000-5060
General Fund,Supplies Exp,Genl Fd Landscape/Irrigation,Supplies Clothing/Uniforms,600,600,2018,2018-1001-440-80760-00000000-00000000-5120
Electric Fund,Supplies Exp,Elec T&D Safety,Supplies Medical,663,663,2018,2018-5211-500-80870-00000000-925     -5111-
Utility Customer Service Fund,Prof Svcs Exp,UCS Fd Bill/Coll,Prof Svcs Reconnect Fee WSUD,3000,3000,2018,2018-2226-300-80260-00000000-00000000-5321
General Fund,Purchased Services,Genl Fd Community Svcs Admin,Insurance Premiums,1533,1533,2018,2018-1001-450-80600-00000000-00000000-5520
Water Fund,Salaries/Benefit Exp,Water Distribution Operations,Salaries Standby,7283,7283,2018,2018-5212-510-80910-00000000-WDISX   -5016-
General Fund,Utilities Exp,Genl Fd IT Administration,Utilities Mobile Phone,456,456,2018,2018-1001-600-81200-00000000-00000000-5406
General Fund,Supplies Exp,Genl Fd Community Svcs Admin,Supplies Minor Equip/Tools,250,250,2018,2018-1001-450-80600-00000000-00000000-5102
General Fund,Salaries/Benefit Exp,Genl Fd SW Center   Senior,Benefits OPEB,2055,2055,2018,2018-1001-530-81125-CT830   -00000000-5053-
General Fund,Utilities Exp,Genl Fd Fire Administration,Utilities Water,1686,1686,2018,2018-1001-420-80400-00000000-00000000-5402
Drainage Utility Fund,Prof Svcs Exp,Drainage Fd Engineering,Prof Svcs Special Studies,40000,40000,2018,2018-3912-430-80795-00000000-00000000-5304
General Fund,Salaries/Benefit Exp,Genl Fd Business Services,Benefits Gym Membership,483,483,2018,2018-1001-600-81250-00000000-00000000-5060
General Fund,Salaries/Benefit Exp,Genl Fd City Secretary,Benefits Workers Comp Ins,243,243,2018,2018-1001-100-80110-00000000-00000000-5057
General Fund,Supplies Exp,Genl Fd Swim Lessons,Supplies Clothing/Uniforms,500,500,2018,2018-1001-530-81125-AQ736   -00000000-5120
General Fund,Purchased Services,Genl Fd Planning,Training Outside,6370,6370,2018,2018-1001-430-80530-00000000-00000000-5551
General Fund,Salaries/Benefit Exp,Genl Fd Civil Engineering,Benefits OPEB,14626,14626,2018,2018-1001-430-80510-00000000-00000000-5053-
General Fund,Supplies Exp,Genl Fd Communication Services,Supplies Chemicals/Pesticides,70,70,2018,2018-1001-600-81270-00000000-00000000-5108
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Veh/Equip Fuel & Oil,9704,9704,2018,2018-2227-440-80791-00000000-00000000-5104
General Fund,Salaries/Benefit Exp,Genl Fd Lincoln Center,Benefits Workers Comp Ins,2449,2449,2018,2018-1001-530-81125-CT850   -00000000-5057
Fleet Maintenance Fund,Supplies Exp,Fleet Fd Admin,Supplies Safety,1525,1525,2018,2018-2227-440-80791-00000000-00000000-5122
Water Fund,Salaries/Benefit Exp,Water General Operations,Salaries Full Time Labor,30752,30752,2018,2018-5212-510-80900-00000000-WGENX   -5011-
General Fund,Utilities Exp,Genl Fd Recreation Admin,Utilities Water,143638,143638,2018,2018-1001-530-81110-00000000-00000000-5402
General Fund,Utilities Exp,Genl Fd Lincoln Center,Utilities Electric,57934,57934,2018,2018-1001-530-81125-CT850   -00000000-5400
General Fund,Supplies Exp,Genl Fd Lincoln Center,Supplies Janitorial,4000,4000,2018,2018-1001-530-81125-CT850   -00000000-5109
General Fund,Utilities Exp,Genl Fd Develop Svcs Bldg,Utilities Phone Long Distance,430,430,2018,2018-1001-430-80520-00000000-00000000-5405
General Fund,Salaries/Benefit Exp,Genl Fd Thomas Pool,Salaries Temp/Seasonal/PTNB,40101,40101,2018,2018-1001-530-81125-AQ732   -00000000-5013
General Fund,Supplies Exp,Genl Fd Capital Projects Oper,Supplies Office Supplies,3100,3100,2018,2018-1001-440-80730-00000000-00000000-5101
Electric Fund,Supplies Exp,Elec Com Ofc Supp/Other,Supplies Office Supplies,3910,3910,2018,2018-5211-500-80840-00000000-921     -5101
General Fund,Supplies Exp,Genl Fd Criminal Investigation,Supplies Clothing/Uniforms,10229,10229,2018,2018-1001-410-80320-00000000-00000000-5120
General Fund,Misc Operating Exp,Genl Fd Fiscal Administration,Misc Postage & Freight,200,200,2018,2018-1001-300-80200-00000000-00000000-5960
General Fund,Supplies Exp,Genl Fd Municipal Court,Supplies Veh/Equip Fuel & Oil,3074,3074,2018,2018-1001-300-80240-00000000-00000000-5104
General Fund,Misc Operating Exp,Genl Fd City Secretary,Misc Memberships,730,730,2018,2018-1001-100-80110-00000000-00000000-5930
General Fund,G&A Transfer Out,Genl Fd Swim Team,G&A Transfer Out General Fd,4489,4489,2018,2018-1001-530-81125-AQ738   -00000000-6310
Wastewater Fund,Utilities Exp,WW General Plant Operations,Utilities Phone Long Distance,132,132,2018,2018-5213-520-80950-00000000-SGOPX   -5405-
Electric Fund,Prof Svcs Exp,Elec T&D Mnt Dist Overhead,Prof Svcs Tree Trimming,481565,481565,2018,2018-5211-500-80870-00000000-593     -5320
Employee Benefits Fund,Non-Dept Ins Premium,Empl Ben Ins Fd Non Dept Exp,Insure Prem Life Insurance,91000,91000,2018,2018-2222-910-89100-00000000-00000000-6134
